formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_max,gaji_min
f3d9733b-559d-48b9-83b7-b7949f0ae2f3,Badan Informasi Geospasial,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Informasi Geospasial | SEKRETARIAT UTAMA | BIRO UMUM DAN KEUANGAN,4,1,7800000,5500000
4130e871-e915-4cd2-892d-9a477dfc69cd,Badan Informasi Geospasial,CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,Badan Informasi Geospasial | SEKRETARIAT UTAMA | BIRO UMUM DAN KEUANGAN | BAGIAN UMUM DAN LAYANAN PENGADAAN,1,1,7800000,5500000
310df1c0-62e7-4d21-89ef-c77ea343d212,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional III BKN Bandung | Bagian Tata Usaha Kantor Regional III BKN Bandung | Subbagian Perencanaan dan Keuangan Kantor Regional III BKN Bandung,1,1,8734850,7920850
3a40ebe1-19fa-4041-9a38-0ec0e2412c4f,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional VI BKN Medan | Bagian Tata Usaha Kantor Regional VI BKN Medan | Subbagian Perencanaan dan Keuangan Kantor Regional VI BKN Medan,1,1,8734850,7920850
8a2bbac4-4633-4701-a28f-1be8fa2efaa8,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional IV BKN Makassar | Bagian Tata Usaha Kantor Regional IV BKN Makassar | Subbagian Perencanaan dan Keuangan Kantor Regional IV BKN Makassar,1,1,8734850,7920850
c084b446-10fb-4ca3-997b-c053e9f35445,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional XIV BKN Manokwari | Bagian Tata Usaha Kantor Regional XIV BKN Manokwari | Subbagian Perencanaan dan Keuangan Kantor Regional XIV BKN Manokwari,1,1,9159850,8345850
e0247510-ab19-4c17-ae83-a2329bcfe158,Badan Kepegawaian Negara,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional XIII BKN Banda Aceh | Bagian Tata Usaha Kantor Regional XIII BKN Banda Aceh | Subbagian Perencanaan dan Keuangan Kantor Regional XIII BKN Banda Aceh,1,1,8734850,7920850
8a028492914fb63b01914feb088c4d66,Badan Kepegawaian Negara,CPNS,PUTRA/PUTRI KALIMANTAN,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Deputi Bidang Sistem Informasi Kepegawaian | Direktorat Arsip Kepegawaian,1,0,8714850,7900850
0d1dee4a-9cac-4f51-9c9a-fc89a41b53fd,Badan Kepegawaian Negara,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional X BKN Denpasar | Bidang Informasi Kepegawaian Kantor Regional X BKN Denpasar,1,0,8714850,7900850
1980758e-a422-4867-b447-128d4e0ab452,Badan Kepegawaian Negara,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional XI BKN Manado | Bidang Informasi Kepegawaian Kantor Regional XI BKN Manado,1,0,8714850,7900850
2e1c3c99-317b-4e59-bfd8-c4303f72a6c5,Badan Kepegawaian Negara,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional VI BKN Medan | Bidang Informasi Kepegawaian Kantor Regional VI BKN Medan,1,0,8714850,7900850
3e864d2a-8c61-480d-871d-41ccfec40e59,Badan Kepegawaian Negara,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional VIII BKN Banjarmasin | Bidang Informasi Kepegawaian Kantor Regional VIII BKN Banjarmasin,1,0,8714850,7900850
4708096f-fd71-4cd2-802e-8aa52d8e0262,Badan Kepegawaian Negara,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Kepegawaian Negara | Kantor Regional XII BKN Pekanbaru | Bidang Informasi Kepegawaian Kantor Regional XII BKN Pekanbaru,1,0,8714850,7900850
