formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8265f8f0-e2fb-440c-ada8-0023cd742b38,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | BALAI ARSIP STATIS DAN TSUNAMI,2,1,7974000,8581000
a734ca6c-74b8-4533-8547-92c696919a2e,Arsip Nasional Republik Indonesia,CPNS,UMUM,PERENCANA AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | SEKRETARIAT UTAMA | BIRO PERENCANAAN DAN HUBUNGAN MASYARAKAT,5,1,7994000,8601000
30157f0f-4146-4908-bcfb-0b16810fcf5a,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS EKONOMI | SUB DIREKTORAT INFRASTRUKTUR,1,0,3500000,7500000
aee1743f-a0de-4452-80a0-d9f958f716db,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS EKONOMI | SUB DIREKTORAT KEUANGAN DAN PERBANKAN,1,0,3500000,7500000
8a0384b4915028740191540e1a062b7b,Badan Karantina Indonesia,CPNS,PENYANDANG DISABILITAS,AUDITOR AHLI PERTAMA,Badan Karantina Indonesia | Inspektorat,1,1,4500000,7500000
31a4e838-0579-4e05-9a1b-41ee860d30d1,Badan Karantina Indonesia,CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Karantina Indonesia | Inspektorat,6,1,4500000,7500000
f5b84839-1e3a-4611-8cb0-598bc2a83b7d,Badan Kepegawaian Negara,CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Kepegawaian Negara | Inspektorat,5,1,7830850,8644850
8a01869291548667019154aeb5d91f5a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,2,1,2785700,9024448
8a01869291548667019154b5e65c2775,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,1,1,2785700,9024448
8a01869291548667019154bcc9fa2ff8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,3,1,2785700,9024448
8a01869291548667019154bd474f3089,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,2,1,2785700,9024448
