formasi_id,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
8a0184a39146015601914939ced91fbc,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Kementerian Keuangan (KEMENKEU),Kementerian Keuangan (KEMENKEU),126,1,6208560,11243200
8a0282659168528c01916aa6aadd1b6a,CPNS,UMUM,AUDITOR AHLI PERTAMA,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,100,0,10000000,11500000
8a018692915486670191552769d2587c,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sumatera Utara,Kementerian ATR/BPN - Sumatera Utara,88,1,2000000,5500000
8a018692915486670191551f29725271,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sulawesi Selatan,Kementerian ATR/BPN - Sulawesi Selatan,82,1,2000000,5500000
8a03849a9149c64e01914a796e5d4022,CPNS,UMUM,ANALIS KEKAYAAN INTELEKTUAL AHLI PERTAMA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAKÂ ASASIÂ MANUSIA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAKÂ ASASIÂ MANUSIA,82,0,2785700,8620850
8a01869291548667019154eafa2909dc,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Aceh,Kementerian ATR/BPN - Aceh,76,1,2000000,5500000
8a018692915486670191551587574afb,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Nusa Tenggara Timur,Kementerian ATR/BPN - Nusa Tenggara Timur,74,1,2000000,5500000
8a0186929154866701915524a7615630,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sumatera Barat,Kementerian ATR/BPN - Sumatera Barat,62,1,2000000,5500000
8a0186929154866701915525e8135726,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sumatera Selatan,Kementerian ATR/BPN - Sumatera Selatan,62,1,2000000,5500000
8a0384b491502874019153b948ca0262,CPNS,UMUM,AUDITOR AHLI PERTAMA,Pusat,Pusat,58,1,3029400,8364550
8a018692915486670191550eec6c42f8,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Lampung,Kementerian ATR/BPN - Lampung,53,1,2000000,5500000
8a0186929154866701915522060254be,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sulawesi Tenggara,Kementerian ATR/BPN - Sulawesi Tenggara,50,1,2000000,5500000
8a01869291548667019155232848554c,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sulawesi Utara,Kementerian ATR/BPN - Sulawesi Utara,50,1,2000000,5500000
8a0186929154866701915503cf1b34db,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kalimantan Barat,Kementerian ATR/BPN - Kalimantan Barat,49,1,2000000,5500000
8a018692915486670191551a28394e63,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Riau,Kementerian ATR/BPN - Riau,49,1,2000000,5500000
8a01869291548667019155186c654da4,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Papua,Kementerian ATR/BPN - Papua,47,1,2000000,5500000
8a0186929154866701915507e4d23bc6,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kalimantan Tengah,Kementerian ATR/BPN - Kalimantan Tengah,47,1,2000000,5500000
8a01869291548667019155059df438d3,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kalimantan Selatan,Kementerian ATR/BPN - Kalimantan Selatan,46,1,2000000,5500000
8a0186929154866701915509954e3d65,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kalimantan Timur,Kementerian ATR/BPN - Kalimantan Timur,46,1,2000000,5500000
8a0384c5915a83e001915a94ef601030,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Kementerian Sekretariat Negara,Kementerian Sekretariat Negara,46,1,3043120,9392120
8a0186929154866701915520c2c55418,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sulawesi Tengah,Kementerian ATR/BPN - Sulawesi Tengah,45,1,2000000,5500000
8a018692915486670191551718df4cec,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Papua Barat,Kementerian ATR/BPN - Papua Barat,43,1,2000000,5500000
8a0384b491502874019154287a5c3d1b,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,SEKRETARIAT JENDERAL DEWAN KETAHANAN NASIONAL,SEKRETARIAT JENDERAL DEWAN KETAHANAN NASIONAL,41,1,7457120,8064378
8a018692915486670191550227d63264,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Jambi,Kementerian ATR/BPN - Jambi,40,1,2000000,5500000
