jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,ins_nm,gaji_max,gaji_min,,,,,,,,,,
CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | BALAI ARSIP STATIS DAN TSUNAMI,2,Arsip Nasional Republik Indonesia,8581000,7974000,,,,,,,,,,
CPNS,UMUM,PERENCANA AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | SEKRETARIAT UTAMA | BIRO PERENCANAAN DAN HUBUNGAN MASYARAKAT,5,Arsip Nasional Republik Indonesia,8601000,7994000,,,,,,,,,,
CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS EKONOMI | SUB DIREKTORAT INFRASTRUKTUR,1,Badan Intelijen Negara,7500000,3500000,INDAKOPUBPARTEL,,,,,,,,,
CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS EKONOMI | SUB DIREKTORAT KEUANGAN DAN PERBANKAN,1,Badan Intelijen Negara,7500000,3500000,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,AUDITOR AHLI PERTAMA,Badan Karantina Indonesia | Inspektorat,1,Badan Karantina Indonesia,7500000,4500000,,,,,,,,,,
CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Karantina Indonesia | Inspektorat,6,Badan Karantina Indonesia,7500000,4500000,,,,,,,,,,
CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Kepegawaian Negara | Inspektorat,5,Badan Kepegawaian Negara,8644850,7830850,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
